s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	cov_bin
459.0	338.0	424.0	373.0	376.0	367.0	276.0	367.0	385.0	512.0	324.0	319.0	367.0	341.0	508.0	530.0	468.0	340.0	343.0	386.0	0
159.0	155.0	163.0	194.0	75.0	161.0	100.0	176.0	117.0	178.0	117.0	89.0	169.0	66.0	205.0	150.0	275.0	223.0	122.0	115.0	1
67.0	184.0	107.0	111.0	80.0	109.0	117.0	139.0	107.0	305.0	91.0	109.0	144.0	74.0	142.0	98.0	131.0	154.0	99.0	72.0	2
137.0	188.0	111.0	134.0	70.0	102.0	95.0	98.0	75.0	222.0	97.0	50.0	171.0	91.0	150.0	166.0	121.0	194.0	90.0	92.0	3
121.0	199.0	89.0	175.0	92.0	126.0	113.0	173.0	109.0	210.0	103.0	66.0	165.0	108.0	151.0	201.0	166.0	173.0	88.0	95.0	4
102.0	216.0	125.0	108.0	107.0	99.0	116.0	134.0	112.0	290.0	106.0	126.0	355.0	132.0	184.0	182.0	124.0	122.0	115.0	88.0	5
177.0	164.0	226.0	176.0	177.0	176.0	130.0	176.0	136.0	349.0	119.0	154.0	368.0	250.0	141.0	246.0	117.0	176.0	138.0	101.0	6
219.0	150.0	188.0	190.0	207.0	187.0	197.0	182.0	168.0	344.0	62.0	214.0	454.0	218.0	223.0	319.0	148.0	137.0	193.0	142.0	7
231.0	226.0	192.0	210.0	208.0	214.0	202.0	207.0	162.0	386.0	122.0	210.0	688.0	211.0	202.0	357.0	222.0	204.0	203.0	246.0	8
275.0	183.0	242.0	212.0	325.0	268.0	168.0	230.0	178.0	402.0	129.0	278.0	712.0	265.0	209.0	427.0	239.0	186.0	184.0	240.0	9
260.0	237.0	285.0	289.0	318.0	306.0	231.0	223.0	191.0	475.0	138.0	296.0	620.0	277.0	326.0	401.0	216.0	219.0	173.0	191.0	10
320.0	255.0	327.0	256.0	366.0	391.0	242.0	169.0	230.0	573.0	203.0	257.0	755.0	416.0	275.0	484.0	192.0	218.0	221.0	168.0	11
