	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	cov_bin
0	11.0	11.0	13.0	8.0	7.0	5.0	6.0	6.0	10.0	7.0	3.0	9.0	8.0	25.0	11.0	7.0	10.0	8.0	5.0	9.0	0
1	9.0	0.0	1.0	10.0	3.0	4.0	4.0	4.0	0.0	17.0	8.0	2.0	3.0	3.0	6.0	7.0	1.0	4.0	6.0	2.0	1
2	1.0	0.0	0.0	2.0	1.0	2.0	1.0	1.0	1.0	4.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	2
3	4.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	3
4	1.0	0.0	10.0	0.0	2.0	8.0	0.0	0.0	0.0	4.0	1.0	0.0	7.0	3.0	0.0	1.0	0.0	0.0	6.0	0.0	4
5	5.0	0.0	11.0	7.0	3.0	8.0	2.0	1.0	0.0	2.0	4.0	21.0	19.0	3.0	0.0	0.0	0.0	0.0	3.0	0.0	5
6	3.0	0.0	4.0	11.0	2.0	5.0	2.0	0.0	0.0	9.0	3.0	5.0	10.0	5.0	0.0	6.0	0.0	0.0	1.0	0.0	6
7	9.0	6.0	6.0	1.0	1.0	4.0	1.0	1.0	2.0	13.0	1.0	9.0	17.0	7.0	8.0	4.0	3.0	0.0	4.0	0.0	7
8	10.0	15.0	15.0	16.0	6.0	9.0	7.0	1.0	10.0	11.0	6.0	14.0	31.0	0.0	1.0	18.0	1.0	1.0	2.0	0.0	8
9	3.0	9.0	8.0	1.0	2.0	4.0	10.0	0.0	10.0	15.0	1.0	20.0	14.0	9.0	9.0	18.0	15.0	1.0	5.0	1.0	9
10	18.0	23.0	4.0	18.0	4.0	4.0	9.0	1.0	4.0	9.0	3.0	14.0	4.0	8.0	5.0	3.0	12.0	9.0	4.0	2.0	10
11	27.0	8.0	8.0	10.0	0.0	14.0	10.0	5.0	1.0	3.0	1.0	5.0	1.0	5.0	7.0	4.0	11.0	4.0	12.0	0.0	11
12	10.0	6.0	6.0	11.0	5.0	10.0	8.0	2.0	3.0	14.0	0.0	9.0	13.0	3.0	12.0	3.0	7.0	23.0	12.0	5.0	12
13	12.0	2.0	7.0	2.0	27.0	16.0	13.0	7.0	5.0	9.0	11.0	13.0	12.0	7.0	21.0	5.0	9.0	9.0	27.0	6.0	13
14	3.0	12.0	5.0	9.0	14.0	10.0	30.0	7.0	10.0	29.0	9.0	9.0	38.0	23.0	19.0	22.0	19.0	19.0	9.0	9.0	14
15	7.0	23.0	13.0	12.0	12.0	6.0	12.0	12.0	13.0	10.0	5.0	7.0	31.0	11.0	13.0	17.0	22.0	23.0	6.0	24.0	15
16	13.0	8.0	20.0	20.0	28.0	17.0	20.0	3.0	4.0	12.0	5.0	29.0	17.0	8.0	12.0	10.0	16.0	24.0	14.0	20.0	16
17	6.0	2.0	17.0	13.0	18.0	16.0	23.0	4.0	4.0	50.0	6.0	20.0	48.0	5.0	20.0	19.0	23.0	13.0	13.0	26.0	17
18	21.0	10.0	22.0	7.0	13.0	21.0	33.0	4.0	12.0	14.0	7.0	13.0	28.0	13.0	20.0	9.0	11.0	9.0	19.0	21.0	18
19	11.0	10.0	8.0	3.0	37.0	6.0	12.0	4.0	25.0	29.0	13.0	18.0	16.0	20.0	22.0	38.0	21.0	18.0	6.0	29.0	19
20	42.0	10.0	6.0	16.0	10.0	9.0	14.0	8.0	13.0	22.0	12.0	11.0	13.0	16.0	16.0	14.0	25.0	24.0	15.0	11.0	20
21	32.0	11.0	12.0	23.0	7.0	30.0	43.0	11.0	12.0	24.0	10.0	26.0	12.0	18.0	5.0	22.0	19.0	9.0	16.0	16.0	21
