CHROM	POS	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	
NC_031768.1	1	7	7	16	8	12	7	5	13	15	6	21	16	16	15	7	7	10	14	4	15
NC_031768.1	2	7	7	17	8	12	7	5	13	15	6	22	17	16	17	7	7	10	14	4	16
NC_031768.1	3	7	7	17	8	12	8	6	13	15	6	22	18	17	18	7	7	10	14	4	16
NC_031768.1	4	7	8	17	8	12	9	7	14	15	7	24	18	17	21	9	8	11	14	4	16
NC_031768.1	5	7	8	18	8	13	9	8	15	15	7	24	19	17	21	9	8	11	15	4	16
NC_031768.1	6	7	8	18	8	13	9	8	15	15	7	24	19	17	21	9	8	12	15	4	16
NC_031768.1	7	7	8	18	8	13	9	9	15	16	7	24	19	18	21	10	8	12	18	5	18
NC_031768.1	8	7	10	19	8	13	11	9	15	18	7	24	19	18	22	13	9	12	18	5	18
NC_031768.1	9	8	10	19	8	13	12	9	17	18	7	24	19	18	22	13	9	14	18	5	18
NC_031768.1	10	8	10	19	8	13	12	10	17	18	8	24	19	18	23	13	10	14	19	6	18
NC_031768.1	11	9	10	19	8	13	12	11	18	18	9	25	21	18	23	13	11	14	19	7	18
NC_031768.1	12	9	10	19	8	14	12	11	18	18	9	26	21	18	23	13	11	14	21	8	18
NC_031768.1	13	9	11	20	8	14	13	11	19	19	9	26	21	19	24	13	11	14	22	8	18
NC_031768.1	14	10	11	22	10	14	13	11	20	20	9	27	21	19	24	13	13	14	23	10	18
NC_031768.1	15	10	11	22	10	14	13	11	20	20	9	27	21	19	24	13	13	14	23	11	18
NC_031768.1	16	10	11	22	10	15	13	11	22	20	9	28	21	19	24	13	13	14	23	11	18
NC_031768.1	17	12	11	22	10	15	13	12	23	21	9	28	21	19	24	13	13	15	23	11	19
NC_031768.1	18	13	11	22	11	15	13	13	23	22	9	29	21	19	24	14	14	15	23	11	20
NC_031768.1	19	13	12	23	11	15	13	13	23	22	9	30	22	19	24	14	16	15	23	12	21
NC_031768.1	20	15	14	25	11	17	13	14	24	23	11	30	22	19	24	17	18	15	24	13	22
NC_031768.1	21	16	14	25	11	17	13	14	24	23	12	30	22	19	26	17	18	15	24	13	23
NC_031768.1	22	16	14	26	11	17	14	14	26	23	13	30	22	20	26	17	19	16	24	15	23
NC_031768.1	23	16	15	27	12	17	15	14	26	23	13	31	22	20	27	17	19	16	24	15	26
NC_031768.1	24	16	15	28	13	18	15	14	26	23	13	32	22	21	28	17	19	16	25	15	27
NC_031768.1	25	16	15	28	14	18	15	14	26	23	13	33	22	21	28	17	19	16	26	16	27
NC_031768.1	26	19	15	28	15	18	16	15	26	23	14	34	22	21	29	18	20	17	27	17	27
NC_031768.1	27	21	16	28	15	18	17	15	26	23	14	34	22	21	29	18	21	18	27	17	27
NC_031768.1	28	21	17	28	15	19	17	15	26	23	14	36	22	22	29	18	22	19	27	17	29
NC_031768.1	29	21	18	28	15	19	17	15	26	24	14	37	22	23	29	18	23	19	27	18	29
NC_031768.1	30	21	18	28	15	19	17	15	26	24	14	38	23	23	30	19	23	19	27	18	29
NC_031768.1	31	22	18	28	16	19	17	16	26	25	14	39	23	23	31	19	23	20	27	18	30
NC_031768.1	32	23	19	28	16	19	17	16	26	27	17	39	23	23	31	19	23	20	27	18	32
NC_031768.1	33	23	20	28	16	19	18	16	26	27	17	39	23	23	32	20	24	20	27	18	32
NC_031768.1	34	24	20	29	16	19	18	16	27	28	17	39	23	24	32	20	24	20	27	18	32
NC_031768.1	35	24	20	30	16	19	18	16	27	29	17	39	23	25	31	22	25	20	28	18	33
NC_031768.1	36	24	21	30	18	19	18	17	27	29	17	39	23	25	31	22	25	21	29	19	33
NC_031768.1	37	24	21	30	22	19	18	17	27	29	17	40	23	26	31	22	25	21	29	19	33
NC_031768.1	38	24	21	30	22	19	18	18	28	29	17	40	23	26	31	23	25	21	29	20	33
NC_031768.1	39	24	23	30	23	19	18	18	28	30	17	40	23	26	31	23	25	21	29	20	33
NC_031768.1	40	24	23	30	25	19	18	18	29	30	17	40	23	26	31	23	25	22	29	20	33
NC_031768.1	41	24	23	30	25	19	18	18	31	30	17	41	23	27	31	24	25	22	30	20	33
NC_031768.1	42	24	24	31	25	19	19	18	31	31	17	42	23	27	32	24	27	22	30	21	33
NC_031768.1	43	24	25	31	26	19	19	19	31	31	18	42	23	27	32	24	28	22	30	21	34
NC_031768.1	44	25	26	32	26	19	21	20	33	32	18	45	24	28	32	24	28	22	30	21	34
NC_031768.1	45	25	26	32	26	20	21	20	33	32	19	46	24	28	32	25	28	23	30	21	34
NC_031768.1	46	25	26	32	26	20	21	20	33	32	19	46	26	28	31	25	28	23	30	22	35
NC_031768.1	47	25	26	33	27	20	21	20	33	32	19	46	26	29	31	25	28	23	31	23	35
NC_031768.1	48	26	27	33	28	20	21	20	33	32	19	46	26	30	32	25	28	23	31	23	35
NC_031768.1	49	26	29	34	28	20	21	20	35	32	19	46	26	30	32	26	28	23	32	24	35
NC_031768.1	50	26	29	34	28	21	21	21	35	32	19	46	26	30	32	26	28	23	32	24	35
NC_031768.1	51	27	29	35	28	21	21	21	35	32	20	46	26	30	32	26	28	23	32	24	35
NC_031768.1	52	27	29	35	29	22	21	22	35	32	20	46	26	30	32	27	28	23	32	24	36
NC_031768.1	53	28	30	36	29	22	21	22	35	33	20	46	27	30	32	27	28	23	32	24	36
NC_031768.1	54	28	31	36	30	22	21	22	35	33	20	46	27	30	32	27	29	24	33	24	37
NC_031768.1	55	29	31	38	30	22	21	22	35	34	20	46	27	30	32	28	29	24	33	24	37
NC_031768.1	56	29	31	38	30	22	22	23	35	35	20	46	27	31	33	28	29	24	33	25	37
NC_031768.1	57	29	32	38	31	22	22	23	35	37	20	46	27	31	33	29	30	25	35	25	37
NC_031768.1	58	29	32	38	31	22	22	23	36	38	20	46	27	31	33	29	30	25	35	25	37
NC_031768.1	59	29	31	38	31	22	22	24	36	38	21	46	27	33	33	29	30	25	36	25	37
